date,close,volume,open,high,low,,,,,,,,,,,,,,,,,,,
10/11/2011,57.1843,151188005,56.0814,57.5971,55.9286,,,,,,,,,,,,,,,,,,,
10/12/2011,57.4557,155337537,58.1914,58.4643,57.1628,,,,,,,,,,,,,,,,,,,
10/13/2011,58.3471,105774372,57.8543,58.3471,57.55,,,,,,,,,,,,,,,,,,,
10/14/2011,60.2857,142922473,59.5471,60.2857,59.3243,,,,,,,,,,,,,,,,,,,
10/17/2011,59.9986,171172941,60.2486,60.9571,59.42,,,,,,,,,,,,,,,,,,,
10/18/2011,60.32,213231124,60.2514,60.6867,59.4271,,,,,,,,,,,,,,,,,,,
10/19/2011,56.9457,275674643,57.3357,58.3456,56.8286,,,,,,,,,,,,,,,,,,,
10/20/2011,56.4728,137224191,57.1428,57.1928,56.3157,,,,,,,,,,,,,,,,,,,
10/21/2011,56.1243,154943506,56.8714,57.02,55.8214,,,,,,,,,,,,,,,,,,,
10/24/2011,57.9671,125430938,56.5971,58.0714,56.4857,,,,,,,,,,,,,,,,,,,
10/25/2011,56.8243,107432952,57.8614,58.0786,56.7686,,,,,,,,,,,,,,,,,,,
10/26/2011,57.2286,113884784,57.3943,57.5071,56.1644,,,,,,,,,,,,,,,,,,,
10/27/2011,57.8128,123496347,58.2228,58.4286,57.4128,,,,,,,,,,,,,,,,,,,
10/28/2011,57.85,80540134,57.5714,58.05,57.5014,,,,,,,,,,,,,,,,,,,
10/31/2011,57.8257,96335779,57.4886,58.4757,57.2928,,,,,,,,,,,,,,,,,,,
11/1/2011,56.6443,132769740,56.7728,57.0714,56.1743,,,,,,,,,,,,,,,,,,,
11/2/2011,56.7728,81719705,57.1557,57.2057,56.4443,,,,,,,,,,,,,,,,,,,
11/3/2011,57.5814,110279293,57.01,57.6286,56.48,,,,,,,,,,,,,,,,,,,
11/4/2011,57.1771,75324993,57.4328,57.6343,57.0228,,,,,,,,,,,,,,,,,,,
11/7/2011,57.1043,67411392,57.13,57.1428,56.59,,,,,,,,,,,,,,,,,,,
11/8/2011,58.0328,99898290,57.4586,58.2857,57.3657,,,,,,,,,,,,,,,,,,,
11/9/2011,56.4686,139385792,56.71,57.27,56.3186,,,,,,,,,,,,,,,,,,,
11/10/2011,55.0314,186111226,56.7186,56.7443,54.5928,,,,,,,,,,,,,,,,,,,
11/11/2011,54.9457,163319499,55.23,55.5286,54.3228,,,,,,,,,,,,,,,,,,,
11/14/2011,54.18,108182162,54.7886,55.0357,54.0286,,,,,,,,,,,,,,,,,,,
11/15/2011,55.5471,107614952,54.4,55.6428,54.2071,,,,,,,,,,,,,,,,,,,
11/16/2011,54.9671,87102636,55.6071,55.8771,54.9028,,,,,,,,,,,,,,,,,,,
11/17/2011,53.9157,119918436,54.8543,54.94,53.6428,,,,,,,,,,,,,,,,,,,
11/18/2011,53.5628,92964578,54.1314,54.2843,53.5543,,,,,,,,,,,,,,,,,,,
11/21/2011,52.7157,111837844,52.9143,53.0971,52.2728,,,,,,,,,,,,,,,,,,,
11/22/2011,53.7871,102201781,53.0028,53.99,52.9914,,,,,,,,,,,,,,,,,,,
11/23/2011,52.4271,107011272,53.5014,53.6914,52.4114,,,,,,,,,,,,,,,,,,,
11/25/2011,51.9386,63689820,52.6314,53.0214,51.9028,,,,,,,,,,,,,,,,,,,
11/28/2011,53.7314,86538996,53.1928,53.8171,52.9043,,,,,,,,,,,,,,,,,,,
11/29/2011,53.3143,93871498,53.6914,54.1186,52.8857,,,,,,,,,,,,,,,,,,,
11/30/2011,54.6,101253000,54.47,54.6108,54.0428,,,,,,,,,,,,,,,,,,,
12/1/2011,55.4186,95857679,54.6486,55.5714,54.3928,,,,,,,,,,,,,,,,,,,
12/2/2011,55.6714,94724238,55.69,56.2328,55.5114,,,,,,,,,,,,,,,,,,,
12/5/2011,56.1443,89257027,56.2128,56.63,55.7697,,,,,,,,,,,,,,,,,,,
12/6/2011,55.85,70841701,56.0728,56.3757,55.6257,,,,,,,,,,,,,,,,,,,
12/7/2011,55.5843,76144063,55.7043,55.8486,55.2518,,,,,,,,,,,,,,,,,,,
